SliderName,Animation,DurationSeconds,NeutralValue
Angle/HIDE_AngleX_Correction_Left,HIDE/AngleX_Correction_Left,0.6667,0
Angle/HIDE_AngleX_Correction_Right,HIDE/AngleX_Correction_Right,0.6667,0
Angle/HIDE_AngleY_Correction_Down,HIDE/AngleY_Correction_Down,0.6667,0
Angle/HIDE_AngleY_Correction_Up,HIDE/AngleY_Correction_Up,0.6667,0
AnimationSlider/Anim_Binary,HIDE/Anim_Binary,0.1667,0
AnimationSlider/Anim_EyeHighlightOff,HIDE/Anim_EyeHighlightOff,0.6667,0
AnimationSlider/Anim_EyePatternSelection,HIDE/Anim_EyePatternSelection,0.4,0
AnimationSlider/Anim_EyeSelection,HIDE/Anim_EyeSelection,0.3333,0
AnimationSlider/Anim_Sticker1,HIDE/Anim_Sticker1,0.6667,0
AnimationSlider/Anim_Sticker2,HIDE/Anim_Sticker2,0.6667,0
AnimationSlider/EyeAngry,HIDE/EyeAngry,0.6667,0
AnimationSlider/EyeOpen_L,HIDE/EyeOpen_L,1.3333,0
AnimationSlider/EyeOpen_R,HIDE/EyeOpen_R,1.3333,0
AnimationSlider/EyeSad,HIDE/EyeSad,0.6667,0
AnimationSlider/JawY,HIDE/JawY,1.3333,0
AnimationSlider/LipOpen_Form,HIDE/LipOpen_Form,1.3333,0.6667
AnimationSlider/MouthClose_Form,HIDE/MouthClose_Form,1.3333,0.6667
AnimationSlider/MouthForm,HIDE/MouthForm,1.3333,0
AnimationSlider/MouthOpen,HIDE/MouthOpen,0.6667,0
AnimationSlider/MouthOpen_Form,HIDE/MouthOpen_Form,1.3333,0.6667
Character/Ahoge_Angle,CHAR/Ahoge_Angle,1,0.5
Character/Ahoge_Position,CHAR/Ahoge_Position,1,0.5
Character/Alert_Size,CHAR/Alert_Size,0.6667,0
Character/AnimalEarAntenna_Position,CHAR/AnimalEarAntenna_Position,1,0.5
Character/BackHair_Length,CHAR/BackHair_Length,2,1
Character/BangLeft_Length,CHAR/BangLeft_Length,1,0.3
Character/BangLeft_Position,CHAR/BangLeft_Position,1,0.6
Character/BangLeft_Shear,CHAR/BangLeft_Shear,1,0.5
Character/BangRight_Length,CHAR/BangRight_Length,1,0.3
Character/BangRight_Position,CHAR/BangRight_Position,1,0.6
Character/BangRight_Shear,CHAR/BangRight_Shear,1,0.5
Character/Brows_Distance,CHAR/Brows_Distance,1.3333,0.6667
Character/Brows_Height,CHAR/Brows_Height,1.3333,0.6667
Character/EarShape1,CHAR/EarShape1,2,0
Character/EarShape2,CHAR/EarShape2,2,1
Character/Eyelash_Length,CHAR/Eyelash_Length,1,1
Character/FinGill_Position,CHAR/FinGill_Position,1,0.5
Character/FrameHairLeft_Length,CHAR/FrameHairLeft_Length,2,1
Character/FrameHairRight_Length,CHAR/FrameHairRight_Length,2,1
Character/Halo_Position,CHAR/Halo_Position,1,0.5
Character/Hat_Position,CHAR/Hat_Position,1.3333,0.6667
Character/HeadWing_Position,CHAR/HeadWing_Position,1,0.5
Character/Horn_Position,CHAR/Horn_Position,1,0.5
Character/HornLeft_Length,CHAR/HornLeft_Length,1,0.5
Character/HornMiddle_Length,CHAR/HornMiddle_Length,1,1
Character/HornRight_Length,CHAR/HornRight_Length,1,0.5
Character/MiddleBang_Length,CHAR/BangMiddle_Length,2,1
Character/MiddleBang_Shear,CHAR/BangMiddle_Shear,2,1
Character/PigtailLeft_Angle,CHAR/PigtailLeft_Angle,1.3333,0.6667
Character/PigtailLeft_Length,CHAR/PigtailLeft_Length,1.3333,0.6667
Character/PigtailLeft_Position,CHAR/PigtailLeft_Position,1.3333,0.6667
Character/PigtailRight_Angle,CHAR/PigtailRight_Angle,1.3333,0.6667
Character/PigtailRight_Length,CHAR/PigtailRight_Length,1.3333,0.6667
Character/PigtailRight_Position,CHAR/PigtailRight_Position,1.3333,0.6667
Character/Ponytail_Angle,CHAR/Ponytail_Angle,1.3333,0.6667
Character/Ponytail_Length,CHAR/Ponytail_Length,1.3333,0.6667
Character/Ponytail_Width,CHAR/Ponytail_Width,1.3333,0.6667
Character/SideHair_Length,CHAR/SideHair_Length,2,1
Character/Tail_Angle,CHAR/Tail_Angle,2,1
Character/Tail_Flip,CHAR/Tail_Flip,0.6667,0
Character/Tail_Size,CHAR/Tail_Size,2,1
Character/Wing_Angle,CHAR/Wing_Angle,2,1
Character/Wing_Position,CHAR/Wing_Position,2,1
Character/Wing_Size,CHAR/Wing_Size,2,1
