GroupName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
Brows,Brows,Brows,眉毛,眉毛,Augenbrauen,Cejas,Sourcils,Szemöldök,眉,눈썹,Брови,Sobrancelha,Брови,Sopracciglia,คิ้ว,Kaşlar,Bryn,Obočie
Ear,Ear,Ear,耳朵,耳朵,Ohr,Oreja,Oreilles,Fül,耳,귀,Ухо,Orelha,вухо,Orecchio,หู,Kulaklar,Öra,Ucho
Eye,Eye,Eye,眼睛,眼睛,Auge,Ojo,Œil,Szem,目,눈,Глаз,Olho,Око,Occhio,ตา,Gözler,Öga,Oko
BaseHair,Base Hair,Base Hair,基础头发,基礎頭髮,Basishaare,Cabello Base,Base des Cheveux,Alaphaj,髪ベース,기본 두상,Базовые волосы,Cabelo Base,Базове волосся,Capelli di base,ฐานผม,Saç Hattı,Bashår,Základné vlasy
HairBangLeft,Hair Bang >>,Hair Bang >>,头发 刘海 >>,頭髮 瀏海 >>,Pony >>,Flequillo de pelo >>,Frange >>,Hair Bang >>,前髪 >>,앞머리 >>,Челка >>,Franja >>,Чубчик для волосся >>,Frangia ai capelli >>,ผมหน้าม้า >>,Kahkül >>,Hair Bang >>,Vlasy Bang >>
HairBangMiddle,Hair Bang ><,Hair Bang ><,头发 刘海 ><,頭髮 瀏海 ><,Pony ><,Flequillo de pelo ><,Frange ><,Hair Bang ><,前髪 中央,앞머리 ><,Челка для волос ><,Franja ><,Чубчик для волосся ><,Frangia ai capelli ><,ผมหน้าม้า ><,Kahkül ><,Hair Bang ><,Vlasy Bang <
HairBangRight,Hair Bang <<,Hair Bang <<,头发 刘海 <<,頭髮 瀏海 <<,Pony <<,Flequillo de pelo <<,Frange <<,Hair Bang <<,前髪 <<,앞머리 <<,Челка для волос <<,Franja <<,Чубчик для волосся <<,Frangia ai capelli <<,ผมหน้าม้า <<,Kahkül <<,Hair Bang <<,Hair Bang <<
HairShine,Hair Shine,Hair Shine,头发 高光,頭髮 高光,Haarglanz,Brillo del cabello,Lumière des cheveux,Hajfény,髪ツヤ,머리 하이라이트,Сияние волос,Brilho do Cabelo,Блиск волосся,Lucentezza dei capelli,ไฮไลต์ผม,Saç Parıltısı,Hårglans,Lesk vlasov
FrameHairBranchL,Hair Branch >>,Hair Branch >>,头发 分叉 >>,頭髮 分叉 >>,Haarzweig >>,Rama de pelo >>,Épi >>,Hajág >>,髪ハネ >>,머리 가닥 >>,Прядь волос >>,Mechas Laterais >>,Волоссяна гілка >>,Ramo di capelli >>,ปอยผม >>,Saç Kalkıklığı >>,Hårgren >>,Vlasová vetva >>
FrameHairBranchR,Hair Branch <<,Hair Branch <<,头发 分叉 <<,頭髮 分叉 <<,Haarzweig <<,Rama de cabello <<,Épi <<,Hajág <<,髪ハネ <<,머리 가닥 <<,Прядь волос <<,Mechas Laterais >>,Волосся Гілка <<,Ramo di capelli <<,ปอยผม <<,Saç Kalkıklığı<<,Hårgren <<,Vlasová vetva <<
FrameHairL,Hair Framing >>,Hair Framing >>,头发 脸颊 >>,頭髮 臉頰 >>,Seitensträhnen >>,Enmarcado del cabello >>,Mèche Visage Côté  >>,Hajkeretezés >>,顔まわり髪 >>,옆머리 >>,Локоны волос >>,Mechas do Rosto >>,Обрамлення волосся >>,Inquadratura dei capelli >>,ผมด้านข้าง >>,Saç Ucu >>,Hårinramning >>,Rámovanie vlasov >>
FrameHairR,Hair Framing <<,Hair Framing <<,头发 脸颊 <<,頭髮 臉頰 <<,Seitensträhnen <<,Enmarcado del cabello <<,Mèche Visage Côté  <<,Hajkeretezés <<,顔まわり髪 <<,옆머리 <<,Локоны волос <<,Mechas do Rosto <<,Обрамлення волосся <<,Inquadratura dei capelli <<,ผมด้านข้าง <<,Saç Ucu <<,Hårinramning <<,Rámovanie vlasov <<
