SliderName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
Character/Eyelash_Length,Eyelash Length,Eyelash Length,睫毛 长度,睫毛 長度,Wimpern Länge,Longitud de las pestañas,Longueur des cils,Szempilla hossza,まつげ 長さ,속눈썹 길이,Ресницы - Длина,Comprimento dos Cílios,Довжина вій,Lunghezza delle ciglia,ความยาวขนตา,Kirpik Uzunluğu,Ögonfranslängd,Dĺžka rias
Character/Brows_Distance,Brows Distance,Brows Distance,眉毛 距离,眉毛 距離,Augenbrauen Abstand,Distancia de las cejas,Distance des sourcils,Szemöldök távolság,眉 距離,눈썹 간격,Брови - Расстояние,Distância das Sobrancelhas,Відстань між бровами,Distanza delle sopracciglia,ระยะห่างระหว่างคิ้ว,Kaş Mesafesi,Brows Distance,Vzdialenosť obočia
Character/Brows_Height,Brows Height,Brows Height,眉毛 高度,眉毛 高度,Augenbrauen Höhe,Altura de las cejas,Hauteur des sourcils,Szemöldökmagasság,眉 高さ,눈썹 높이,Брови - Высота,Altura das Sobrancelhas,Висота брів,Altezza delle sopracciglia,ความสูงของคิ้ว,Kaş Yüksekliği,Brynens höjd,Výška obočia
Character/EarShape1,Ear Shape 1,Ear Shape 1,耳朵 形状 1,耳朵 形狀 1,Ohr Form 1,Forma de oreja 1,Forme d'oreille 1,Fül alakja 1,耳 形状 1,귀 모양 1,Форма ушей 1,Formato da Orelha 1,Форма вуха 1,Forma dell'orecchio 1,รูปทรงหู 1,Kulak Şekli 1,Öronform 1,Tvar uší 1
Character/EarShape2,Ear Shape 2,Ear Shape 2,耳朵 形状 2,耳朵 形狀 2,Ohr Form 2,Forma de oreja 2,Forme d'oreille 2,Fül alakja 2,耳 形状 2,귀 모양 2,Форма ушей 2,Formato da Orelha 2,Форма вуха 2,Forma dell'orecchio 2,รูปทรงหู 2,Kulak Şekli 2,Öronform 2,Tvar uší 2
Character/MiddleBang_Length,Hair Bang >< Length,Hair Bang >< Length,头发 刘海 >< 长度,頭髮 瀏海 >< 長度,Pony >< Länge,Flequillo de pelo >< Longitud,Frange >< Longueur,Hajhullás >< hossz,前髪 >< 長さ,앞머리 >< 길이,Челка >< Длина,Franja >< Comprimento,Чубчик >< довжина,Frangia dei capelli >< Lunghezza,ผมหน้าม้า >< ความยาว,Kahkül >< Uzunluk,Hair Bang >< Längd,Vlasy Bang >< Dĺžka
Character/MiddleBang_Shear,Hair Bang >< Shear,Hair Bang >< Shear,头发 刘海 >< 剪切,頭髮 瀏海 >< 傾斜,Pony >< Neigung,Flequillo de pelo >< Cizalla,Frange >< Angle,Hair Bang >< Shear,前髪 >< 傾き,앞머리 >< 기울기,Челка >< Наклон,Franja >< Deslocamento,Чубчик >< Стрижка,Frangia per capelli >< Taglio,ผมหน้าม้า >< มุม,Kahkül >< Kayma,Hair Bang >< Shear,Vlasy Bang >< Strih
Character/BangLeft_Position,Hair Bang >> Position,Hair Bang >> Position,头发 刘海 >> 位置,頭髮 瀏海 >> 位置,Pony >> Position,Flequillo de pelo >> Posición,Frange Côté >> Position,Hair Bang >> Pozíció,前髪 >> 位置,앞머리 >> 위치,Челка >> Позиция,Franja >> Posição,Чубчик для волосся >> Положення,Frangia dei capelli >> Posizione,ผมหน้าม้า >> ตำแหน่ง,Kahkül >> Konum,Hair Bang >> Position,Hair Bang >> Poloha
Character/BangLeft_Length,Hair Bang >> Length,Hair Bang >> Length,头发 刘海 >> 长度,頭髮 瀏海 >> 長度,Pony >> Länge,Flequillo del pelo >> Longitud,Frange Côté >> Longueur,Hajhullás >> Hossz,前髪 >> 長さ,앞머리 >> 길이,Челка >> Длина,Franja >> Comprimento,Чубчик >> Довжина,Frangia capelli >> Lunghezza,ผมหน้าม้า >> ความยาว,Kahkül >> Uzunluk,Hair Bang >> Längd,Vlasy Bang >> Dĺžka
Character/BangLeft_Shear,Hair Bang >> Shear,Hair Bang >> Shear,头发 刘海 >> 剪切,頭髮 瀏海 >> 傾斜,Pony >> Neigung,Flequillo de pelo >> Cizalla,Frange Côté >> Angle,Hajhullás >> Nyírás,前髪 >> 傾き,앞머리 >> 기울기,Челка >> Наклон,Franja >> Deslocamento,Стрижка >> Стрижка,Frangia Capelli >> Taglio,ผมหน้าม้า >> มุม,Kahkül >> Kayma,Hair Bang >> Sax,Vlasy Bang >> Strihanie
