AnimationName,DisplayName,en,zh-Hans,zh-Hant,de,es,fr,hu,ja,ko,ru,pt-br,uk,it,th,tr,sv,sk
ANIM/Alert-Bits,Alert Bits,Alert Bits,通知/提示 Bits,通知/提示 Bits,Alert Bits,Alerta de Bits,Alerte de Bits,Figyelmeztető bitek,ビッツ アラート,비트 알림,"Уведомление ""Twitch Bits""",Alerta de Bits,Біти попередження,Bit di avviso,Alert Bits,Bit Bildirimi,Varningsbitar,Varovné bity
ANIM/Alert-Donation,Alert Donation,Alert Donation,通知/提示 硬币,通知/提示 硬幣,Alert Spende,Alerta de donación,Alerte de Don,Figyelmeztető adományozás,寄付 アラート,후원 알림,"Уведомление ""Донат""",Alerta de doação,Сповіщення про пожертвування,Donazione avviso,Alert โดเนท,Bağış Bildirimi,Varningsdonation,Varovný dar
ANIM/Alert-Heart,Alert Heart,Alert Heart,通知/提示 爱心/喜欢,通知/提示 愛心/喜歡,Alert Herz,Alerta de corazón,Alerte Cœur,Figyelmes szív,ハート アラート,하트 알림,"Уведомление ""Сердце""",Alerta de Coração,Тривожне серце,Cuore vigile,Alert หัวใจ,Kalp Bildirimi,Alert Heart,Varovné srdce
ANIM/Alert-Like,Alert Like,Alert Like,通知/提示 点赞,通知/提示 點讚,Alert Like,Alerta de Like,Alerte J'aime,Alert Like,いいね アラート,좋아요 알림,"Уведомление ""Нравится""",Alerta de Like,Сповіщення Подобається,Avviso Mi piace,Alert ไลค์,Beğeni Bildirimi,Alert Gilla,Upozorniť Páči sa mi
ANIM/Alert-Star,Alert Star,Alert Star,通知/提示 星星/收藏,通知/提示 星星/收藏,Alert Stern,Alerta de estrella,Alerte Étoile,Figyelmeztető csillag,星 アラート,별 알림,"Уведомление ""Звезда""",Alerta de Estrela,Alert Star,Stella allerta,Alert ดาว,Yıldız Bildirimi,Alert Star,Hviezda upozornenia
ANIM/Angry,Angry,Angry,生气,生氣,Wütend,Enojado,Colère,Dühös,怒り顔,화남,Злой,Raiva,Злий,Arrabbiato,โกรธ,Sinirli,Arg,Nahnevaný
ANIM/Arrive,Arrive,Arrive,到达,到達,Ankommen,Llegando,Arriver,Megérkezik,登場,등장,Подбежать,Chegada,Прибуття,Arrivare,เดินมาหา,Geldim,Anlända,Príďte
ANIM/Arrive-Chopstick,Arrive (with Chopstick),Arrive (with Chopstick),到达(拿筷子),到達(拿筷子),Ankommen (Essstäbchen),Llegando(con palillos),Arriver (avec des Baguettes),Érkezés (pálcikával),登場（箸）,등장(젓가락),Подбежать (с палочками для еды),Chegada (com Hashi),Прибуття (з паличкою для їжі),Arrivo (con la bacchetta),เดินมาหา (ตะเกียบ),Geldim (Chopstick),Anländer (med ätpinne),Prísť (s palicou)
ANIM/Arrive-Spoon,Arrive (with Spoon),Arrive (with Spoon),到达(拿勺子),到達(拿湯匙),Ankommen (Löffel),Llegando(con cuchara),Arriver (avec une Cuillère),Érkezés (kanállal),登場（スプーン）,등장(숟가락),Подбежать (с ложкой),Chegada (com Colher),Прибуття (з ложкою),Arrivo (con cucchiaio),เดินมาหา (ช้อน),Geldim (Kaşık),Anländer (med sked),Prísť (s lyžičkou)
ANIM/Bonk,Bonk,Bonk,敲头,敲頭,Bonk,Bonk,Bonk,Bonk,ハンマー（ボンク）,망치 콩,Боньк,Bonk,Бонк,Buono,ทุบ / Bonk,Bonk,Bonk,Bonk
